,0.0,0.05,0.1,0.2,0.5,1.0
nodes,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
edges,128299.0,128299.0,128299.0,128299.0,128299.0,128299.0
components,4.0,9.0,7.0,1.0,1.0,1.0
degree_centrality,0.0012001200120012002,0.0013001300130013002,0.0014001400140014,0.0015001500150015003,0.002000200020002,0.0025002500250025004
avg_degree,25.6598,25.6598,25.6598,25.6598,25.6598,25.6598
transitivity,0.03473342860594568,0.03301949577931858,0.031069355016832174,0.027347014316503007,0.01636039669793319,0.0025493191941465612
clustering,0.16304347826086957,0.1292207792207792,0.10036860540892799,0.06638237819399605,0.016091954022988506,0.002150537634408602
average clustering,0.19338009866923941,0.14741731843301542,0.1139442532810602,0.07395585785337586,0.02092221215421428,0.002533168764772176
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.009880239520958085,0.010856573705179283,0.010878243512974051,0.010079840319361277,0.006686626746506986,0.0004
h(1) deanonymization [2-4],0.017764471057884233,0.015537848605577689,0.016067864271457087,0.0124750499001996,0.010479041916167664,0.0012
h(1) deanonymization [5-10],0.019560878243512974,0.01852589641434263,0.018363273453093812,0.017964071856287425,0.01347305389221557,0.0025
h(1) deanonymization [11-20],0.024351297405189622,0.030677290836653385,0.021956087824351298,0.0249500998003992,0.0156686626746507,0.003
h(1) deanonymization [20-inf],0.9284431137724551,0.924402390438247,0.9327345309381238,0.9345309381237525,0.9536926147704591,0.9929
h(2) deanonymization [1],0.9488,0.9854,0.9965,1.0,1.0,1.0
h(2) deanonymization [2-4],0.0241,0.0104,0.0029,0.0,0.0,0.0
h(2) deanonymization [5-10],0.0158,0.0042,0.0006,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0041,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0072,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],0.9817,0.9968,0.9992,1.0,1.0,1.0
h(3) deanonymization [2-4],0.0128,0.0013,0.0002,0.0,0.0,0.0
h(3) deanonymization [5-10],0.0044,0.0019,0.0006,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0011,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],0.961,0.9879,0.9908,0.988,0.9813,1.0
h(4) deanonymization [2-4],0.0292,0.0086,0.0086,0.0109,0.0069,0.0
h(4) deanonymization [5-10],0.0052,0.0035,0.0006,0.0011,0.0018,0.0
h(4) deanonymization [11-20],0.0046,0.0,0.0,0.0,0.0011,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0089,0.0
